"84800
PLN",Ford Mondeo Mk5,Faktura VAT,2018,38 381 km,1 499 cm3,Benzyna
"18900
PLN",Ford Fiesta Mk7,,2010,165 000 km,1 250 cm3,Benzyna
"94300
PLN",Volkswagen Tiguan II,Faktura VAT,2016,65 400 km,1 968 cm3,Diesel
"119500
PLN",Audi A4 B8,Faktura VAT,2017,43 805 km,2 000 cm3,Diesel
"48400
PLN",Ford Focus Mk3,Faktura VAT,2018,55 494 km,1 596 cm3,Benzyna
"74900
PLN",Ford Mondeo Mk5,Faktura VAT,2017,31 237 km,1 499 cm3,Benzyna
"23000
PLN",Audi A4 B7,Do negocjacji,2006,211 437 km,1 800 cm3,Benzyna
"53500
PLN",Honda Accord VIII,"Do negocjacji, Faktura VAT",2012,176 000 km,1 997 cm3,Benzyna+LPG
"62900
PLN",Renault Kadjar,Do negocjacji,2018,58 600 km,1 500 cm3,Diesel
"77800
PLN",Hyundai Tucson II,Do negocjacji,2016,161 631 km,1 995 cm3,Diesel
"99500
PLN",Mercedes-Benz GL X166,,2015,90 214 km,3 000 cm3,Benzyna
"139500
PLN",BMW Seria 4,"Do negocjacji, Faktura VAT",2017,66 700 km,1 995 cm3,Diesel
"124000
PLN",Škoda Kodiaq,Do negocjacji,2018,65 000 km,2 000 cm3,Benzyna
"92000
PLN",Volkswagen T-Roc,Do negocjacji,2019,11 000 km,1 500 cm3,Benzyna
"65000
PLN",Ford Kuga II,"Do negocjacji, Faktura VAT",2015,70 400 km,1 997 cm3,Diesel
"75500
PLN",Ford Focus Mk4,"Do negocjacji, Faktura VAT",2018,5 km,1 498 cm3,Diesel
"184900
PLN",Porsche 718 Boxster,Do negocjacji,2017,25 000 km,2 000 cm3,Benzyna
"299000
PLN",Audi S8 D4,"Mo¿liwoœæ odliczenia VAT, Do negocjacji, Faktura VAT",2017,24 600 km,4 000 cm3,Benzyna
"6100
PLN",Volkswagen Golf IV,Do negocjacji,1998,270 000 km,1 900 cm3,Diesel
"16900
PLN",Peugeot 207,Do negocjacji,2010,99 700 km,1 598 cm3,Benzyna
"24900
PLN",BMW Seria 3 E90/E91/E92/E93,,2010,250 000 km,1 995 cm3,Diesel
"25900
PLN",Suzuki Grand Vitara II,Do negocjacji,2008,171 000 km,1 870 cm3,Diesel
"27921
PLN",Fiat Panda III,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2013,61 080 km,875 cm3,Benzyna
"29900
PLN",Opel Meriva II,Do negocjacji,2016,152 500 km,1 598 cm3,Diesel
"24000
PLN",Audi A6 C6,Do negocjacji,2007,350 000 km,2 967 cm3,Diesel
"102000
PLN",Nissan X-Trail III,"Do negocjacji, Faktura VAT",2017,72 000 km,2 000 cm3,Diesel
"39600
PLN",Opel Astra J,Faktura VAT,2016,44 000 km,,Benzyna
"34809
PLN",Volkswagen Caddy III,"Mo¿liwoœæ odliczenia VAT, Faktura VAT",2014,170 700 km,1 600 cm3,Diesel
"26900
PLN",BMW X3 E83,Do negocjacji,2004,310 000 km,2 979 cm3,Benzyna+LPG
"49900
PLN",Nissan Juke,,2016,26 000 km,1 200 cm3,Benzyna
"6900
PLN",Citroën Xsara Picasso,Do negocjacji,2006,215 000 km,1 600 cm3,Diesel
"59900
PLN",Audi Q7 I,,2010,350 000 km,3 000 cm3,Diesel
